#the number of emitters: 23478
#amplitude(photoelectrons), x0(pixels), y0(pixels), simga_x(pixels), sigma_y(pixels), background(photoelectrons), z_position(pixels), quality, CNR, localization_precision_x(pixels), localization_precision_y(pixels), localization_precision_z(pixels), correlation_coefficient, frame
6.045290 68.978800 362.547921 1.118097 1.118097 6.092532 0.000000 1.682901 3.763081 0.545590 0.545590 0.000000 0.530706 25
6.501609 427.576578 246.162330 1.118097 1.118097 5.703077 0.000000 1.718142 3.633429 0.497664 0.497664 0.000000 0.528738 26
4.912069 166.332848 331.818379 1.118097 1.118097 6.185272 0.000000 1.437557 3.077370 0.663685 0.663685 0.000000 0.377073 26
6.469518 68.338983 362.651123 1.118097 1.118097 6.103310 0.000000 1.844214 4.081917 0.513541 0.513541 0.000000 0.477821 26
6.719583 200.003383 405.636464 1.118097 1.118097 5.681399 0.000000 1.628895 3.605337 0.482499 0.482499 0.000000 0.549418 26
5.794207 123.000587 218.647115 1.118097 1.118097 5.917450 0.000000 1.435289 3.108459 0.560296 0.560296 0.000000 0.537988 27
6.801884 112.943555 331.646809 1.118097 1.118097 5.353636 0.000000 1.731401 3.791661 0.466419 0.466419 0.000000 0.528569 27
5.159948 206.360596 351.512043 1.118097 1.118097 6.582820 0.000000 1.764999 3.946658 0.651126 0.651126 0.000000 0.409925 27
6.560613 68.486704 362.741969 1.118097 1.118097 6.444464 0.000000 1.715362 3.756537 0.518317 0.518317 0.000000 0.473580 27
4.230389 226.515152 75.155568 1.118097 1.118097 5.736004 0.000000 1.551260 3.102520 0.737951 0.737951 0.000000 0.367447 28
5.839520 502.296400 214.676256 1.118097 1.118097 6.345174 0.000000 1.846062 4.042763 0.572451 0.572451 0.000000 0.420652 28
4.296543 116.213325 331.055620 1.118097 1.118097 6.545920 0.000000 1.593851 3.451862 0.769873 0.769873 0.000000 0.385281 28
6.990532 69.462983 362.399953 1.118097 1.118097 5.601383 0.000000 1.853172 4.013484 0.463270 0.463270 0.000000 0.556610 28
4.468034 176.550146 392.297104 1.118097 1.118097 5.751862 0.000000 1.467501 3.178221 0.702407 0.702407 0.000000 0.401796 28
4.830314 58.437808 425.021564 1.118097 1.118097 5.284290 0.000000 1.579276 3.297208 0.631177 0.631177 0.000000 0.375006 28
4.959812 427.026858 245.938342 1.118097 1.118097 5.973688 0.000000 1.510217 3.270732 0.648258 0.648258 0.000000 0.417695 29
5.740206 340.806384 328.611256 1.118097 1.118097 6.222705 0.000000 1.614913 3.574390 0.576827 0.576827 0.000000 0.429945 29
5.225413 341.490706 326.319066 1.118097 1.118097 5.580469 0.000000 1.465628 3.137462 0.600869 0.600869 0.000000 0.472539 30
6.810556 114.153957 330.367998 1.118097 1.118097 6.106957 0.000000 1.763002 3.942192 0.490494 0.490494 0.000000 0.550797 31
4.941263 41.914813 374.588228 1.118097 1.118097 5.558747 0.000000 1.399391 3.097363 0.631286 0.631286 0.000000 0.476643 31
6.964475 200.429086 405.519376 1.118097 1.118097 5.325737 0.000000 1.695271 3.712540 0.455865 0.455865 0.000000 0.529707 31
6.600102 200.450345 405.599023 1.118097 1.118097 5.476040 0.000000 1.489477 3.109726 0.483270 0.483270 0.000000 0.509017 31
6.712640 135.684803 35.561319 1.118097 1.118097 6.513228 0.000000 1.856214 3.973589 0.509880 0.509880 0.000000 0.508039 32
5.761615 428.042453 260.038643 1.118097 1.118097 5.418038 0.000000 1.408840 3.085274 0.543476 0.543476 0.000000 0.443108 32
8.445867 200.609799 405.437314 1.118097 1.118097 5.061752 0.000000 1.571040 3.322345 0.378148 0.378148 0.000000 0.677484 32
5.561696 341.970205 326.121685 1.118097 1.118097 5.742724 0.000000 1.586711 3.436399 0.574451 0.574451 0.000000 0.481264 33
7.100710 199.493793 406.299441 1.118097 1.118097 5.238516 0.000000 1.578506 3.418630 0.445339 0.445339 0.000000 0.534752 33
4.942209 124.230519 216.957748 1.118097 1.118097 6.311609 0.000000 1.516115 3.320198 0.665608 0.665608 0.000000 0.394487 34
4.653981 427.285736 247.391932 1.118097 1.118097 6.006087 0.000000 1.449496 3.174308 0.688953 0.688953 0.000000 0.403537 34
6.127796 168.587148 347.379159 1.118097 1.118097 5.796599 0.000000 1.614880 3.456966 0.528238 0.528238 0.000000 0.471595 34
6.215315 67.737169 152.232442 1.118097 1.118097 6.472695 0.000000 1.603935 3.473701 0.545303 0.545303 0.000000 0.480704 35
18.646816 212.347298 169.464966 1.118097 1.118097 8.941276 0.000000 5.262300 11.766861 0.235501 0.235501 0.000000 0.768648 35
7.650802 428.468549 246.403975 1.118097 1.118097 5.558370 0.000000 1.941373 4.204503 0.426543 0.426543 0.000000 0.569261 35
5.336156 341.991726 326.873446 1.118097 1.118097 5.715930 0.000000 1.491655 3.193179 0.595337 0.595337 0.000000 0.508791 35
4.442315 116.362101 357.065738 1.118097 1.118097 6.020232 0.000000 1.557151 3.410065 0.719974 0.719974 0.000000 0.346483 35
15.202623 212.545807 169.845189 1.118097 1.118097 7.682630 0.000000 4.313029 9.644226 0.265495 0.265495 0.000000 0.753711 36
5.410735 427.950902 246.427206 1.118097 1.118097 5.708859 0.000000 1.538878 3.124759 0.587569 0.587569 0.000000 0.436975 36
20.357145 212.726448 169.326397 1.118097 1.118097 8.377650 0.000000 5.807465 12.985887 0.214392 0.214392 0.000000 0.767346 37
5.323082 334.102464 267.458105 1.118097 1.118097 6.410650 0.000000 1.817277 3.743168 0.625724 0.625724 0.000000 0.429940 37
5.884851 330.812852 268.148259 1.118097 1.118097 5.976493 0.000000 1.583168 3.389080 0.554701 0.554701 0.000000 0.460421 37
4.122300 341.956582 327.113707 1.118097 1.118097 6.266721 0.000000 1.657458 3.668558 0.785230 0.785230 0.000000 0.378988 37
4.894426 213.368833 169.258027 1.118097 1.118097 6.590334 0.000000 1.567859 3.356308 0.684035 0.684035 0.000000 0.390440 38
6.637464 115.299101 331.291082 1.118097 1.118097 6.042298 0.000000 1.412856 3.127165 0.499836 0.499836 0.000000 0.568480 38
6.497758 115.363286 331.298139 1.118097 1.118097 6.070314 0.000000 1.605837 3.395932 0.510423 0.510423 0.000000 0.531294 38
6.266385 427.253342 354.046676 1.118097 1.118097 5.019296 0.000000 1.545817 3.347832 0.489236 0.489236 0.000000 0.548091 38
5.820231 200.283672 406.130328 1.118097 1.118097 5.820120 0.000000 1.601742 3.545237 0.554282 0.554282 0.000000 0.498505 38
87.134421 175.805747 13.866775 1.118097 1.118097 1.333900 0.000000 12.576351 25.904354 0.064429 0.064429 0.000000 0.710356 39
5.572652 357.394065 135.473308 1.118097 1.118097 5.532671 0.000000 1.432880 3.137918 0.564817 0.564817 0.000000 0.511999 39
5.612349 114.750896 330.989721 1.118097 1.118097 6.274031 0.000000 1.479140 3.166387 0.590800 0.590800 0.000000 0.431188 39
4.756375 160.930374 464.290819 1.118097 1.118097 5.632619 0.000000 1.486573 3.143720 0.657314 0.657314 0.000000 0.453101 39
3.823085 154.000552 328.319899 1.118097 1.118097 6.095942 0.000000 1.435952 3.073936 0.832467 0.832467 0.000000 0.326306 40
6.921319 114.095809 332.045361 1.118097 1.118097 6.221555 0.000000 2.155463 4.819763 0.487028 0.487028 0.000000 0.539059 40
6.363986 199.284802 405.700445 1.118097 1.118097 5.543609 0.000000 1.548438 3.314735 0.501636 0.501636 0.000000 0.548551 40
3.537556 425.024050 261.916371 1.118097 1.118097 6.203562 0.000000 1.429697 3.060546 0.902273 0.902273 0.000000 0.339022 41
4.362019 340.304593 327.387002 1.118097 1.118097 6.182780 0.000000 1.511167 3.272791 0.740652 0.740652 0.000000 0.351145 41
4.455941 115.660610 331.854520 1.118097 1.118097 6.693155 0.000000 1.424551 3.049529 0.751350 0.751350 0.000000 0.336976 41
5.847443 200.680677 404.897820 1.118097 1.118097 5.698350 0.000000 1.513939 3.315434 0.547254 0.547254 0.000000 0.520913 41
4.253367 215.906077 23.580867 1.118097 1.118097 5.475391 0.000000 1.453066 3.072861 0.719907 0.719907 0.000000 0.370142 42
5.924872 22.639705 155.255244 1.118097 1.118097 6.288989 0.000000 1.720343 3.638082 0.562880 0.562880 0.000000 0.396464 42
5.573655 24.333489 252.876237 1.118097 1.118097 7.180065 0.000000 1.656491 3.587524 0.629075 0.629075 0.000000 0.448300 42
4.927997 339.412277 326.710153 1.118097 1.118097 5.755808 0.000000 1.603976 3.433624 0.642059 0.642059 0.000000 0.426747 42
